entityType,id,name,softSkills,hardSkills,preferenceLabel,company,salaryRange,requiresSoftSkill,requiresHardSkill,contractType,fromCountry,toCountry,migrationYear,migrationReason,jobSeekerId,jobOfferId,hasScore
JobMatchingResult,1861,,,,,,,,,,,,,,JobSeeker337,JobOffer90,0.81
JobMatchingResult,354,,,,,,,,,,,,,,JobSeeker111,JobOffer4870,0.82
JobMatchingResult,1334,,,,,,,,,,,,,,JobSeeker121,JobOffer3780,0.95
JobMatchingResult,906,,,,,,,,,,,,,,JobSeeker963,JobOffer2072,0.71
JobMatchingResult,1290,,,,,,,,,,,,,,JobSeeker412,JobOffer2472,0.64
JobMatchingResult,1274,,,,,,,,,,,,,,JobSeeker887,JobOffer2664,0.71
JobMatchingResult,939,,,,,,,,,,,,,,JobSeeker939,JobOffer2986,0.52
JobMatchingResult,1732,,,,,,,,,,,,,,JobSeeker342,JobOffer4493,0.55
JobMatchingResult,66,,,,,,,,,,,,,,JobSeeker337,JobOffer3294,0.54
JobMatchingResult,1324,,,,,,,,,,,,,,JobSeeker478,JobOffer398,0.88
JobMatchingResult,57,,,,,,,,,,,,,,JobSeeker700,JobOffer3519,0.85
JobMatchingResult,1293,,,,,,,,,,,,,,JobSeeker263,JobOffer3152,0.6
JobMatchingResult,1119,,,,,,,,,,,,,,JobSeeker685,JobOffer4947,0.93
JobMatchingResult,585,,,,,,,,,,,,,,JobSeeker144,JobOffer2522,0.81
JobMatchingResult,375,,,,,,,,,,,,,,JobSeeker423,JobOffer129,0.6
JobMatchingResult,276,,,,,,,,,,,,,,JobSeeker201,JobOffer4114,0.62
JobMatchingResult,747,,,,,,,,,,,,,,JobSeeker653,JobOffer4354,0.88
JobMatchingResult,129,,,,,,,,,,,,,,JobSeeker14,JobOffer3123,0.74
JobMatchingResult,1647,,,,,,,,,,,,,,JobSeeker123,JobOffer4565,0.6
JobMatchingResult,1853,,,,,,,,,,,,,,JobSeeker670,JobOffer4758,0.64
JobSeeker,JohnDoe,John Doe,Communication;Teamwork,Java;SQL,,,,,,,,,,,,,
